"Date,CaloriesBurned"
"2022-02-11,2.677"
"2022-03-01,408.3569999999996"
"2022-03-02,167.535"
"2022-03-03,177.08700000000007"
"2022-03-04,271.1389999999999"
"2022-03-05,172.97199999999995"
"2022-03-06,175.69100000000006"
"2022-03-07,163.9050000000001"
"2022-03-08,186.46800000000002"
"2022-03-09,51.885"
"2022-04-16,185.2880000000001"
"2022-04-17,306.5689999999995"
"2022-04-18,143.93900000000005"
"2022-04-19,506.18100000000055"
"2022-04-20,482.191"
"2022-04-21,442.7279999999995"
"2022-04-22,143.54299999999992"
"2022-04-23,297.3630000000003"
"2022-04-24,229.80100000000004"
"2022-04-25,464.44599999999963"
"2022-04-26,15.831999999999999"
"2022-06-12,145.75300000000001"
"2022-06-13,18.54699999999999"
"2022-06-14,72.41699999999999"
"2022-06-20,299.63600000000025"
"2022-06-21,376.0350000000002"
"2022-06-22,166.1250000000001"
"2022-06-23,198.32000000000002"
"2022-06-24,157.71800000000005"
"2022-06-25,149.21599999999998"
"2022-06-26,27.211000000000002"
"2022-06-27,506.43399999999986"
"2022-06-28,275.61999999999995"
"2022-06-29,227.19700000000014"
"2022-06-30,357.1820000000004"
"2022-07-02,119.38299999999997"
"2022-07-03,564.1940000000001"
"2022-07-04,257.6919999999999"
"2022-07-05,161.7229999999999"
"2022-07-06,121.70900000000009"
"2022-07-07,336.05699999999956"
"2022-07-08,257.725"
"2022-07-09,282.986"
"2022-07-10,282.1980000000001"
"2022-07-11,348.87100000000027"
"2022-07-12,137.61500000000012"
"2022-07-13,219.65399999999988"
"2022-07-14,629.2860000000006"
"2022-07-15,131.99300000000008"
"2022-07-16,244.3710000000001"
"2022-07-17,225.6710000000002"
"2022-07-18,322.89600000000013"
"2022-07-19,12.956000000000001"
"2022-07-21,146.90800000000002"
"2022-07-22,322.1919999999999"
"2022-07-23,179.23399999999984"
"2022-07-24,299.41200000000003"
"2022-07-25,363.09300000000036"
"2022-08-01,308.4139999999999"
"2022-08-02,372.1120000000007"
"2022-08-03,234.74600000000004"
"2022-08-04,737.3339999999997"
"2022-08-05,137.53"
"2022-08-06,196.46200000000002"
"2022-08-07,167.72699999999983"
"2022-08-08,344.6530000000001"
"2022-08-09,231.4419999999999"
"2022-08-10,382.4379999999999"
"2022-08-11,182.56199999999993"
"2022-08-12,384.49600000000015"
"2022-08-22,330.4720000000003"
"2022-08-23,407.23000000000025"
"2022-08-24,264.72399999999976"
"2022-08-25,442.8050000000004"
"2022-08-26,192.6740000000001"
"2022-08-27,552.5569999999998"
"2022-08-28,152.06600000000003"
"2022-08-29,311.16899999999976"
"2022-08-30,476.04599999999954"
"2022-08-31,365.021"
"2022-09-01,259.85299999999984"
"2022-09-02,450.8180000000004"
"2022-09-03,321.19100000000077"
"2022-09-04,0.354"
"2022-09-06,199.865"
"2022-09-07,430.86800000000073"
"2022-09-08,195.42899999999992"
"2022-09-09,614.4350000000006"
"2022-09-10,420.5459999999993"
"2022-09-11,452.90799999999956"
"2022-09-12,385.92000000000024"
"2022-09-13,338.6060000000002"
"2022-09-14,494.4900000000001"
"2022-09-15,505.1839999999996"
"2022-09-16,329.62199999999984"
"2022-09-17,420.82400000000024"
"2022-09-18,521.9489999999998"
"2022-09-19,317.2080000000003"
"2022-09-20,487.1829999999993"
"2022-09-21,399.8019999999994"
"2022-09-22,733.7449999999989"
"2022-09-23,468.08299999999946"
"2022-09-24,562.9210000000004"
"2022-09-25,374.05099999999953"
"2022-09-26,291.991"
"2022-09-27,336.20999999999987"
"2022-09-28,605.5260000000005"
"2022-09-29,830.478"
"2022-10-02,659.4949999999995"
"2022-10-03,405.9539999999993"
"2022-10-04,550.5339999999995"
"2022-10-05,273.01399999999995"
"2022-10-06,480.37199999999905"
"2022-10-07,752.817999999999"
"2022-10-08,327.3709999999996"
"2022-10-09,609.9910000000001"
"2022-10-10,730.5220000000005"
"2022-10-11,577.3209999999983"
"2022-10-12,833.3469999999993"
"2022-10-13,376.3359999999993"
"2022-10-14,549.6399999999993"
"2022-10-15,271.3009999999997"
"2022-10-16,373.77599999999984"
"2022-10-17,358.9169999999997"
"2022-10-18,447.1539999999994"
"2022-10-19,520.3119999999993"
"2022-10-20,482.90399999999966"
"2022-10-21,464.28399999999993"
"2022-10-22,418.28800000000007"
"2022-10-23,421.99399999999986"
"2022-10-24,405.9569999999989"
"2022-10-25,604.6870000000001"
"2022-10-26,333.17699999999974"
"2022-10-27,540.8020000000001"
"2022-10-28,637.400999999999"
"2022-10-29,10.844"
"2022-10-30,548.7830000000001"
"2022-10-31,485.03099999999984"
"2022-11-01,779.1809999999994"
"2022-11-02,808.7350000000006"
"2022-11-03,542.7629999999992"
"2022-11-04,372.28000000000026"
"2022-11-05,364.1639999999998"
"2022-11-06,463.04399999999936"
"2022-11-07,503.5459999999992"
"2022-11-08,550.943"
"2022-11-09,502.34000000000026"
"2022-11-10,470.2190000000001"
"2022-11-11,443.33300000000037"
"2022-11-12,408.81999999999965"
"2022-11-13,405.485"
"2022-11-14,494.0939999999998"
"2022-11-15,618.3239999999979"
"2022-11-16,386.0199999999999"
"2022-11-17,462.2510000000002"
"2022-11-18,382.67899999999935"
"2022-11-19,429.5979999999997"
"2022-11-20,431.8359999999989"
"2022-11-21,253.30099999999968"
"2022-11-22,539.4789999999994"
"2022-11-23,528.3409999999991"
"2022-11-24,407.65399999999954"
"2022-11-25,567.4529999999983"
"2022-11-26,382.8309999999999"
"2022-11-27,365.14699999999954"
"2022-11-28,286.31899999999973"
"2022-11-29,259.72699999999924"
