Date,AvgTemp,AvgWindSpeed,TotalRain
2021-05-01,22.39833333333333,2.308333333333333,0.0
2021-05-02,23.3925,2.9654166666666666,0.13
2021-05-03,21.822083333333335,3.6875,0.0
2021-05-04,17.801666666666666,5.65625,0.41000000000000003
2021-05-05,17.419583333333332,4.1883333333333335,0.0
2021-05-06,18.324166666666667,2.9645833333333336,0.14
2021-05-07,21.67958333333333,2.544583333333333,0.0
2021-05-08,17.21,4.923333333333333,1.47
2021-05-09,13.60125,6.444583333333334,0.0
2021-05-10,13.000416666666666,7.153333333333333,0.0
2021-05-11,13.407916666666667,6.550416666666667,0.0
2021-05-12,14.816666666666668,4.639583333333333,0.0
2021-05-13,17.791666666666668,2.515,0.0
2021-05-14,20.54,3.096666666666667,0.0
2021-05-15,20.192916666666665,2.21875,0.0
2021-05-16,18.31230769230769,3.2373076923076924,2.94
2021-05-17,19.212083333333332,3.765416666666667,0.0
2021-05-18,18.324583333333333,3.029583333333333,4.98
2021-05-19,21.125,2.5341666666666667,0.0
2021-05-20,20.750833333333336,5.750416666666666,0.0
2021-05-21,14.8392,7.5316,19.97
2021-05-22,15.728333333333333,3.129583333333333,1.26
2021-05-23,18.875,2.0108333333333333,0.0
2021-05-24,19.817916666666665,3.589166666666667,0.0
2021-05-25,19.218333333333334,5.879583333333334,0.0
2021-05-26,18.55125,7.458749999999999,0.0
2021-05-27,17.79375,6.4937499999999995,0.0
2021-05-28,18.62875,4.1812499999999995,0.27
2021-05-29,17.580000000000002,3.0220833333333332,6.14
2021-05-30,19.819583333333334,4.4575000000000005,0.0
2021-05-31,17.281666666666666,4.60875,1.38
2021-06-01,16.00375,3.58,15.94
2021-06-02,13.888846153846155,2.670769230769231,4.98
2021-06-03,15.295416666666668,2.6158333333333332,1.62
2021-06-04,17.134583333333335,3.044166666666667,0.21000000000000002
2021-06-05,17.639166666666664,2.700833333333333,0.0
2021-06-06,19.965,2.1283333333333334,0.0
2021-06-07,20.680833333333336,2.8779166666666662,0.0
2021-06-08,19.897916666666667,3.7983333333333333,1.18
2021-06-09,20.397083333333335,4.544583333333333,0.0
2021-06-10,20.868750000000002,4.707916666666667,0.0
2021-06-11,21.26875,4.91,0.18
2021-06-12,21.41416666666667,4.3445833333333335,0.0
2021-06-13,21.33346153846154,3.5819230769230765,4.9
2021-06-14,16.648000000000003,3.9912,7.87
2021-06-15,17.51,3.580833333333333,4.87
2021-06-16,16.633703703703706,4.895925925925926,24.43
2021-06-17,19.833199999999998,2.6136,0.22999999999999998
2021-06-18,20.669999999999998,3.22125,2.57
2021-06-19,20.5025,2.80875,7.470000000000001
2021-06-20,20.962500000000002,3.9741666666666666,0.0
2021-06-21,21.685,3.8816666666666664,0.62
2021-06-22,22.947083333333335,2.379166666666667,0.0
2021-06-23,22.66875,2.255,3.69
2021-06-24,23.515416666666667,2.5945833333333335,0.0
2021-06-25,24.82541666666667,2.874166666666667,0.0
2021-06-26,24.816666666666666,2.7591666666666668,0.0
2021-06-27,25.423333333333332,3.685833333333333,0.25
2021-06-28,24.980416666666667,5.080416666666667,0.0
2021-06-29,24.704583333333332,5.03625,0.0
2021-06-30,25.205,5.12625,0.0
2021-07-01,27.294583333333335,2.46125,0.0
2021-07-02,25.651666666666667,6.280833333333334,0.0
2021-07-03,22.818620689655173,3.6855172413793102,18.18
2021-07-04,22.575,3.282083333333333,4.01
2021-07-05,24.312083333333334,3.3216666666666668,0.47000000000000003
2021-07-06,21.729285714285712,3.4957142857142856,18.41
2021-07-07,23.548333333333332,3.4291666666666667,5.93
2021-07-08,23.48166666666667,5.251666666666667,3.17
2021-07-09,24.60166666666667,7.159583333333333,0.21
2021-07-10,24.728333333333335,5.916250000000001,0.0
2021-07-11,25.04375,4.5874999999999995,0.0
2021-07-12,25.04375,3.94375,0.0
2021-07-13,25.541666666666668,4.480416666666667,0.0
2021-07-14,24.977083333333336,4.7725,0.0
2021-07-15,26.144583333333333,5.552916666666667,0.0
2021-07-16,26.64,6.43,0.0
2021-07-17,26.77125,4.715833333333333,0.0
2021-07-18,27.089583333333334,5.829999999999999,0.0
2021-07-19,27.199583333333333,3.0866666666666664,0.0
2021-07-20,27.548333333333332,2.9637499999999997,0.0
2021-07-21,25.913749999999997,3.579166666666667,1.06
2021-07-22,23.799166666666668,5.25125,1.28
2021-07-23,23.295833333333334,5.100416666666667,0.18
2021-07-24,22.92,5.708333333333333,0.0
2021-07-25,24.572916666666668,6.280833333333334,0.0
2021-07-26,25.388333333333335,5.466666666666666,0.1
2021-07-27,25.493750000000002,4.357083333333334,0.0
2021-07-28,26.947916666666668,5.380416666666666,0.0
2021-07-29,27.493333333333336,4.7595833333333335,0.0
2021-07-30,27.994583333333335,4.082083333333333,0.0
2021-07-31,28.905416666666667,4.095,0.0
2021-08-01,28.11791666666667,4.994583333333334,0.0
2021-08-02,28.667083333333334,2.4145833333333333,0.0
2021-08-03,28.724999999999998,3.4029166666666666,0.0
2021-08-04,27.80666666666667,4.37,0.0
2021-08-05,28.844166666666666,3.1804166666666664,0.0
2021-08-06,29.522499999999997,3.8266666666666667,1.92
2021-08-07,25.836799999999997,5.968,29.26
2021-08-08,24.817916666666665,4.157916666666667,0.0
2021-08-09,24.23375,3.3487500000000003,0.0
2021-08-10,25.40041666666667,2.81125,0.0
2021-08-11,25.737083333333334,3.355,0.96
2021-08-12,25.750833333333333,5.12375,0.0
2021-08-13,24.95375,5.826666666666667,0.0
2021-08-14,24.729166666666668,5.709583333333334,0.0
2021-08-15,24.015416666666667,5.295,0.0
