Date,CaloriesBurned,AvgTemp,AvgWindSpeed,TotalRain
2024-09-29,366.307,21.862800000000004,3.872,18.15
2024-09-30,528.0110000000001,16.445555555555558,4.214074074074074,23.04
2024-10-01,537.6889999999997,16.182916666666667,3.6566666666666663,0.0
2024-10-02,585.2319999999996,17.794166666666666,3.415833333333333,0.0
2024-10-03,557.7689999999999,19.1425,1.9125,0.0
2024-10-04,679.3249999999999,21.7375,1.9516666666666669,0.0
2024-10-05,557.9129999999996,24.57625,1.7616666666666667,0.0
2024-10-06,296.5979999999999,23.54416666666667,1.80875,0.2
2024-10-07,364.148,19.2356,3.8344,1.93
2024-10-08,650.793,19.55583333333333,4.4816666666666665,0.0
2024-10-09,605.2780000000001,20.47791666666667,2.8662499999999995,0.0
2024-10-10,605.7559999999999,21.95458333333333,2.6366666666666667,0.0
2024-10-11,450.677,22.934166666666663,1.9333333333333331,0.0
2024-10-12,286.877,19.3548,5.2068,19.72
2024-10-13,437.5560000000002,16.716666666666665,5.359583333333333,0.0
2024-10-14,527.1780000000001,16.03625,3.8316666666666666,0.0
2024-10-15,591.0440000000003,16.854166666666668,4.63,0.0
2024-10-16,491.3850000000002,15.441249999999998,4.974166666666666,2.84
2024-10-17,564.2599999999999,12.726666666666668,4.632916666666667,3.58
2024-10-18,545.5260000000001,12.392083333333332,4.4366666666666665,2.03
2024-10-19,323.81799999999987,11.63,3.1979166666666665,0.0
2024-10-20,387.9700000000001,12.392916666666666,3.99125,0.0
2024-10-21,471.98,12.85375,4.23375,0.0
2024-10-22,644.7590000000002,12.858333333333334,3.7516666666666665,0.12
2024-10-23,601.581,13.880416666666669,4.490833333333334,0.0
2024-10-24,435.2870000000001,13.729583333333332,4.502083333333333,0.0
2024-10-25,360.82,13.833333333333334,5.120416666666666,0.0
2024-10-26,559.0439999999999,13.461666666666666,5.097916666666666,0.0
2024-10-27,356.9960000000003,14.558749999999998,5.015416666666667,0.0
2024-10-28,443.3089999999998,13.432083333333331,2.69,0.0
2024-10-29,474.889,14.78375,3.95,0.0
2024-10-30,617.2790000000005,15.305833333333332,5.2075000000000005,0.11
2024-10-31,390.4050000000001,13.938333333333333,4.6975,0.0
2024-11-01,561.8090000000001,14.104583333333332,4.522916666666666,0.0
